story,countrylist,startdate,articles
50088,Unknown,2/16/2010,3
58146,Unknown,5/1/2012,2
3480,United States|Unknown,8/19/1997,2
11542,United States|Unknown|Australia,12/9/1999,3
11543,United States,12/13/1999,2
11540,Australia,12/11/1999,4
11541,Australia,12/14/1999,2
11546,United States,12/13/1999,2
11547,United States,12/15/1999,2
11544,United States,12/14/1999,2
11545,United States,12/14/1999,2
11548,United States,12/15/1999,2
11549,United States,12/15/1999,2
58141,United Kingdom,5/1/2012,3
5988,United States,9/23/1998,2
5989,United States,9/23/1998,2
19399,Australia,9/15/2001,2
19398,United States|Canada,9/5/2001,3
19397,United States,9/13/2001,3
19396,Australia,9/14/2001,2
19395,United States|Unknown,9/14/2001,2
19394,United States,9/13/2001,5
19393,New Zealand,9/13/2001,2
19392,United States|Unknown|Canada,9/5/2001,15
19391,Canada,9/8/2001,2
19390,United States,9/12/2001,2
58140,Unknown,4/30/2012,3
57481,Unknown,2/26/2012,2
53901,India,3/12/2011,2
57483,Netherlands|South Africa,2/28/2012,2
57482,New Zealand,2/28/2012,2
57485,United States|Unknown,2/27/2012,2
57484,United States,2/28/2012,3
53906,United States|South Africa,3/12/2011,2
46139,Australia,10/30/2008,2
46138,United States|Unknown,10/28/2008,3
46137,United States|Unknown,10/25/2008,4
46136,United States|England,10/18/2008,13
46135,United Kingdom|Unknown,10/29/2008,2
46134,Unknown,10/28/2008,3
46133,Unknown|Australia,10/28/2008,8
46132,United States,10/29/2008,2
46131,Unknown,10/28/2008,2
46130,Australia,10/29/2008,2
53908,United States|Unknown,3/7/2011,6
53909,United States|Unknown,3/8/2011,2
8804,United States,5/13/1999,4
16643,United States|Unknown,1/1/2001,2
54544,United Kingdom|Unknown,5/14/2011,2
270,United States,7/31/1990,2
19972,Unknown,11/21/2001,3
19971,Unknown,11/22/2001,2
19970,Unknown,11/22/2001,2
16709,United States,1/5/2001,2
16708,Canada,1/5/2001,3
19975,United States,11/22/2001,2
19974,United States,11/22/2001,3
16705,United States,1/2/2001,2
16704,Ireland,1/5/2001,3
16707,Unknown,1/5/2001,2
16706,Unknown,1/5/2001,2
16701,United States,1/5/2001,2
16700,Canada,1/5/2001,3
16703,United States|Unknown,1/4/2001,2
16702,United States,1/5/2001,2
46704,Ireland,1/11/2009,2
12019,United States,1/2/2000,2
12018,United States,1/2/2000,2
46705,Australia,1/11/2009,4
12015,United States,1/2/2000,2
12014,United States,1/2/2000,2
12017,United States,12/29/1999,3
12016,United States,1/2/2000,3
12011,United States,1/1/2000,2
12010,Canada,1/1/2000,2
12013,United Kingdom,1/1/2000,2
12012,Canada,1/1/2000,3
17258,United States,2/23/2001,2
